Temperature,Actual Sales,Predicted Sales,Residual
10.1,155,127.08305149378901,27.916948506210986
10.1,148,127.08305149378901,20.916948506210986
10.1,147,127.08305149378901,19.916948506210986
10.1,127,127.08305149378901,-0.08305149378901433
10.2,115,130.3281423990531,-15.328142399053093
10.2,109,130.3281423990531,-21.328142399053093
10.2,129,130.3281423990531,-1.3281423990530925
10.3,114,133.57323330431728,-19.573233304317284
10.3,145,133.57323330431728,11.426766695682716
10.3,129,133.57323330431728,-4.573233304317284
10.4,146,136.81832420958136,9.181675790418637
10.4,83,136.81832420958136,-53.81832420958136
10.5,138,140.06341511484544,-2.0634151148454407
10.5,190,140.06341511484544,49.93658488515456
10.5,127,140.06341511484544,-13.06341511484544
10.5,191,140.06341511484544,50.93658488515456
10.5,130,140.06341511484544,-10.06341511484544
10.6,183,143.30850602010952,39.69149397989048
10.6,139,143.30850602010952,-4.308506020109519
10.6,178,143.30850602010952,34.69149397989048
10.7,155,146.55359692537365,8.446403074626346
10.7,142,146.55359692537365,-4.553596925373654
10.7,113,146.55359692537365,-33.553596925373654
10.7,137,146.55359692537365,-9.553596925373654
10.7,148,146.55359692537365,1.446403074626346
10.8,203,149.7986878306378,53.20131216936221
10.8,145,149.7986878306378,-4.798687830637789
10.8,189,149.7986878306378,39.20131216936221
10.9,159,153.04377873590187,5.956221264098133
10.9,153,153.04377873590187,-0.043778735901867094
11.0,205,156.288869641166,48.711130358834
11.0,163,156.288869641166,6.711130358833998
11.0,182,156.288869641166,25.711130358833998
11.0,140,156.288869641166,-16.288869641166002
11.1,126,159.53396054643008,-33.53396054643008
11.1,128,159.53396054643008,-31.53396054643008
11.1,171,159.53396054643008,11.46603945356992
11.1,98,159.53396054643008,-61.53396054643008
11.2,185,162.77905145169416,22.22094854830584
11.3,123,166.0241423569583,-43.02414235695829
11.4,143,169.26923326222243,-26.26923326222243
11.4,184,169.26923326222243,14.730766737777572
11.4,136,169.26923326222243,-33.26923326222243
11.4,156,169.26923326222243,-13.269233262222428
11.5,206,172.5143241674865,33.48567583251349
11.5,153,172.5143241674865,-19.514324167486507
11.6,245,175.75941507275058,69.24058492724942
11.6,163,175.75941507275058,-12.759415072750585
11.6,132,175.75941507275058,-43.759415072750585
11.6,181,175.75941507275058,5.240584927249415
11.6,185,175.75941507275058,9.240584927249415
11.7,144,179.00450597801472,-35.00450597801472
11.7,170,179.00450597801472,-9.00450597801472
11.7,156,179.00450597801472,-23.00450597801472
11.8,201,182.24959688327885,18.750403116721145
11.8,169,182.24959688327885,-13.249596883278855
11.8,166,182.24959688327885,-16.249596883278855
11.8,142,182.24959688327885,-40.249596883278855
11.9,180,185.49468778854293,-5.494687788542933
11.9,170,185.49468778854293,-15.494687788542933
12.0,217,188.739778693807,28.26022130619299
12.0,213,188.739778693807,24.26022130619299
12.0,191,188.739778693807,2.2602213061929888
12.0,148,188.739778693807,-40.73977869380701
12.0,211,188.739778693807,22.26022130619299
12.1,183,191.98486959907115,-8.984869599071146
12.2,189,195.22996050433522,-6.229960504335224
12.2,156,195.22996050433522,-39.229960504335224
12.2,196,195.22996050433522,0.7700394956647756
12.3,251,198.47505140959936,52.52494859040064
12.3,170,198.47505140959936,-28.47505140959936
12.3,182,198.47505140959936,-16.47505140959936
12.3,166,198.47505140959936,-32.47505140959936
12.3,171,198.47505140959936,-27.47505140959936
12.4,193,201.7201423148635,-8.720142314863494
12.4,187,201.7201423148635,-14.720142314863494
12.5,215,204.96523322012757,10.034766779872427
12.5,235,204.96523322012757,30.034766779872427
12.6,178,208.21032412539165,-30.21032412539165
12.8,180,214.70050593591992,-34.70050593591992
12.8,196,214.70050593591992,-18.70050593591992
12.8,210,214.70050593591992,-4.700505935919921
12.8,204,214.70050593591992,-10.70050593591992
12.8,216,214.70050593591992,1.2994940640800792
12.9,196,217.945596841184,-21.945596841184
12.9,246,217.945596841184,28.054403158816
12.9,253,217.945596841184,35.054403158816
12.9,214,217.945596841184,-3.945596841183999
13.0,242,221.19068774644808,20.809312253551923
13.0,193,221.19068774644808,-28.190687746448077
13.2,261,227.6808695569763,33.31913044302371
13.2,213,227.6808695569763,-14.68086955697629
13.2,198,227.6808695569763,-29.68086955697629
13.2,258,227.6808695569763,30.31913044302371
13.2,216,227.6808695569763,-11.68086955697629
13.3,273,230.92596046224043,42.074039537759575
13.3,282,230.92596046224043,51.074039537759575
13.3,221,230.92596046224043,-9.925960462240425
13.4,258,234.17105136750456,23.82894863249544
13.5,245,237.41614227276864,7.583857727231361
13.5,176,237.41614227276864,-61.41614227276864
13.6,278,240.66123317803272,37.33876682196728
13.6,212,240.66123317803272,-28.661233178032717
13.7,254,243.9063240832968,10.093675916703205
13.7,253,243.9063240832968,9.093675916703205
13.7,245,243.9063240832968,1.093675916703205
13.8,213,247.151414988561,-34.15141498856099
13.8,240,247.151414988561,-7.151414988560987
13.8,237,247.151414988561,-10.151414988560987
13.9,267,250.39650589382506,16.603494106174935
13.9,226,250.39650589382506,-24.396505893825065
13.9,223,250.39650589382506,-27.396505893825065
13.9,220,250.39650589382506,-30.396505893825065
14.0,275,253.64159679908914,21.358403200910857
14.1,237,256.8866877043533,-19.886687704353278
14.1,234,256.8866877043533,-22.886687704353278
14.1,306,256.8866877043533,49.11331229564672
14.2,263,260.13177860961736,2.8682213903826437
14.2,269,260.13177860961736,8.868221390382644
14.2,265,260.13177860961736,4.868221390382644
14.3,269,263.3768695148815,5.623130485118509
14.4,230,266.62196042014557,-36.62196042014557
14.4,257,266.62196042014557,-9.62196042014557
14.4,283,266.62196042014557,16.37803957985443
14.5,313,269.8670513254097,43.132948674590295
14.5,259,269.8670513254097,-10.867051325409705
14.5,319,269.8670513254097,49.132948674590295
14.5,303,269.8670513254097,33.132948674590295
14.6,273,273.1121422306738,-0.1121422306737827
14.6,261,273.1121422306738,-12.112142230673783
14.7,266,276.35723313593786,-10.35723313593786
14.7,279,276.35723313593786,2.642766864062139
14.7,297,276.35723313593786,20.64276686406214
14.7,296,276.35723313593786,19.64276686406214
14.7,209,276.35723313593786,-67.35723313593786
14.8,270,279.60232404120205,-9.602324041202053
